Wall time,Step,Value
1535703937.049892,0,0.9300000071525574
1535703943.2555215,1,0.9753833413124084
1535703949.5370946,2,0.9817333221435547
1535703955.7580464,3,0.9851499795913696
1535703962.0061002,4,0.9866166710853577
1535703968.1263337,5,0.9889500141143799
1535703974.2755697,6,0.9891166687011719
1535703980.2687597,7,0.9901999831199646
1535703986.3079956,8,0.991516649723053
1535703992.3750982,9,0.9923833608627319
1535703998.351839,10,0.992816686630249
1535704004.4890673,11,0.9928333163261414
1535704010.7188587,12,0.9941999912261963
1535704017.128295,13,0.9939000010490417
1535704023.533045,14,0.9945166707038879
